Kansai-ben,Standard Japanese
アホくさ,バカらしい
アホ ,バカ
あかん,だめ
アッコ,あそこ
あんた,あなた
あんさん,あなた
あんたはん,あなた
あらへん,ない
勉強する,負ける
ぼちぼち,まあまあ
ちゃう,違う
ちょい,ちょっと
ちょお,ちょっと
ちょ,ちょっと
ダボ,どアホ
で,よ・ぞ
でっか,ですか
でんな,ですな・ですね
どー,X
どない？,どう？
どないしたん,どうしたの
どないしょ,どうしょう
どのないする,どうする
どないやった,X
鈍臭い,鈍い
どうしたん,どうした
どつく,殴る
どうしょうもない,しょうがない
どや,どうや
ええ,いい・良い
ええかっこしい,X
えぐい,X
えらい,非常に・とても・大変・しんどい・立派
がめつい,欲張り
がな,X
芸子,X
芸人,X
ゲラ,笑上戸
ごねる,X
ごっつおさん,ごちそうさまでした
ごっそさん,ごちそうさまでした
ごっさん,ごちそうさまでした
ごっつい,X
仰山,沢山
,
あかい,あかる
あかん,いけない・だめ
あかんたれ,小心者
あたい,あたし
あない,あんな
油虫,ゴキブリ
アホ,バカ
あむない,危ない
あらへん,ない
あんさん,あなた
あんじょう,うまい
いがく,茹でる
いがむ,歪む
いかん,いけない・だめ
いきり,X
いけず,意地悪
いける,出来る
いちびる,お調子者
いちゃもん,難癖
一個も,全然・一つも
いっちょかみ,X
いっちゃん,一番
いてまう,やっつける
いとはん,お嬢さん
いぬ,去る
いのく,動く
いやー,X
いらう,触る・弄る
いらち,短期
いわす,やっつける
うだ,たわいもない・無意味
うち,私
うろ,狼狽える
ええ,いい
ええし,いいし
えらい,とても・大変・非常・ひどい・とんでもない・くたびれた
おいど,お尻
おおきに,ありがとう
おかん,お母さん
おこた,炬燵
お子たち,子供
おざぶ,座布団
おじき,おじさん
おじん,じじ
おつい,汁物
おとんぼ,末っ子
おはよう帰り,いってらっしゃい
おばん,ばば
おばんざい,惣菜
おぶ,お茶
おぼこい,純真無垢
おまはん,お前
おもろい,面白い
おもる,奢る
おる,いる
おんどれ,お前・己れ
が（あ）,わがまま
がい,わがまま
がさつ,X
かしこ,賢い人
かしわ,鶏肉
かつかつ,ぎりぎり
かってくる,借りてくる
かめへん,構わない
かんたてる,癇癪を起こす
カントだき,おでん
かんにん,許す
くない？,じゃない？
きさんじょ,気晴らし
きしょい,気色悪い
気づつない,気兼ねする
きもい,気持ち悪い
ぎょうさん,沢山
ぎょうび,最近
きれかった,綺麗だった
きんのう,昨日
ぐいち,ちぐばぐ
くさい,ださい
けーへん,来ない
こーへん,来ない
きーひん,来ない
下衆,下品・品のない人
けったい,変・妙・お菓子
けったくそわる,気分悪い
けつわる,途中で投げ出す
けぶたい,煙たい
げら,笑い上戸
げん,縁起
こえる,太る
こうてくる,買ってくる
こかす・こける,ひっくり返す
こける,倒れる・転ぶ
こすい,ずる賢い
こそばい,くすぐったい
ごつい・ごっつい・ごっつう,大丈・頑丈・えらい
こちゃ,ご馳走
ごっつぉうさん,ごちそうさまでした
ごっそうさん,ごちそうさまでした
ごっそん,ごちそうさまでした
こない,こんな
ごねる,X
ごて,面倒・困った
ごてる,X
ごまばい,細かい
こゆい,濃い
コールコーヒー,アイスコーヒー
ごんた,いたずらっ子
ごんばこ,ゴミ箱
こんまい,小さい
さい,そう
さいぜん,さっき
さかいに,から・ので
さし,
さし,定規
さぶい,寒い
さぶいぼ,鳥肌
さみしい,寂しい
さら,新しい
すらす,する
ざんない,見苦しい
自分,私自身・君
〜しい,X
しくった,失敗した・しまった
しな,X
しばく,殴る・蹴る
じぶちん,けち
しまう,片付ける
しもた,しまった
しもって,しながら
しや,そうだ
社長,X
しゃーない,仕方ない
じゃらじゃら,馬鹿馬鹿しい・ふざける
しゃりん,車
しゃむ,染みる
しょうみ,本当
しょうもない,面白くない・くだらない
しらこい,白々しい
しんかくさい,じれったい
しんどい,疲れた
す,X
すかたん,間抜け
ずっこい,ずるい
ずつない,X
すんまへん,すみません
すまへん,すみません
すいまへん,すみません
すまん,すみません
せーだい,X
せーら,X
せーへん・せん,しない
せく,急ぐ
殺生な,勘弁して
せたろう・せたらう,背負う
せや,そうだ
せんせ,先生
せんとあかん,しなければいけない
せんど,何度も
せんない,仕方ない
そーれん,壮麗
そない,そんな
たこうて,高くて
だだける,駄駄を捏ねる
だべる,おしゃべりをする
頼む,お願いする
だんさん,だんな様・ご主人
たんと,沢山
だんない,差し支えない・構わない
ちっこい,小さい・ちっちゃい
ちゃう,違う・じゃない
ちゃり,揉み上げ
ちょい・ちょう,ちょっと
ちょんぎる,切り落とす
ちゃんちくりん,X
ちんまい,小さい
つかえる,詰まる
つれ,X
てい,コラ
てれこ,あべこべ
てんご,いたずら
ど〜,X
どがちゃが,X
どくしょい,残酷
とこ,ところ
どつく,殴る
どない,どう
鈍臭い,X
どんつき,突き当たり
なおす,片付ける
なにゆうてんねん,X
舐めとんのか,X
難儀,X
何しか,とにかく
何ぞ,何か
なんばきび,とうもろこし
なんぼ,いくら
にぬき,ゆで卵
ぬかす,言う
ぬくい,暖かい
ねかす,言う
ねき,近所
ねぶる,舐める
ねむたい,つまらない
はい,蝿
はがいい,X
ばくだん,X
ぱくる・ぱちる,盗む
ぱちき,頭突き
ぱちもん,偽物
走り,X
ぱしり,小間使い
ばったもん,X
ばった屋,X
はよ,早く・速く
はる,なさる・になる・れる・られる
バリ,とても・大変
ばら,バラ肉
はんなり,華やか・鮮やか
ひざぼん,膝
